epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6997,1.31117,1.94002,1.17122,0.97028,0.70833,0.85857,0.54168,1.21444,2.64036,1.00099,0.00066129,0.00066129,0.00066129
2,59.7319,1.20501,1.24276,1.10961,0.85968,0.76626,0.84768,0.57011,1.20019,1.84864,1.00594,0.00132357,0.00132357,0.00132357
3,87.3367,1.2371,1.07958,1.1333,0.79573,0.64977,0.61497,0.39231,1.36822,2.07145,1.15243,0.00198146,0.00198146,0.00198146
4,114.508,1.20378,0.96491,1.12796,0.94611,0.91667,0.97613,0.60323,1.2091,1.0002,1.05096,0.0019802,0.0019802,0.0019802
5,140.75,1.14803,0.85919,1.09964,0.88193,0.875,0.93425,0.64853,1.08084,0.9003,0.96781,0.0019736,0.0019736,0.0019736
6,167.053,1.16297,0.83624,1.09563,0.91821,0.875,0.9786,0.61826,1.09382,1.45419,0.96069,0.001967,0.001967,0.001967
7,193.437,1.13915,0.80897,1.08694,0.94948,0.91667,0.98435,0.62811,1.15011,0.73071,1.01409,0.0019604,0.0019604,0.0019604
8,219.758,1.10645,0.75457,1.08084,0.93979,0.91667,0.97717,0.69507,1.05926,0.66114,0.97294,0.0019538,0.0019538,0.0019538
9,246.199,1.09718,0.73601,1.06316,0.87363,0.95833,0.96457,0.65941,1.08583,0.68593,0.99764,0.0019472,0.0019472,0.0019472
10,272.565,1.09838,0.72908,1.07106,0.82896,0.79167,0.92045,0.60015,1.13136,0.87548,1.00835,0.0019406,0.0019406,0.0019406
11,298.975,1.05965,0.69445,1.05982,0.9927,0.95833,0.97841,0.68405,1.04537,0.5965,0.96659,0.001934,0.001934,0.001934
12,325.259,1.06192,0.68314,1.05688,0.89771,0.83333,0.93828,0.66856,0.98487,0.68979,0.97423,0.0019274,0.0019274,0.0019274
13,351.687,1.03432,0.68378,1.04546,0.55284,0.83333,0.74633,0.54627,1.09618,1.10355,0.978,0.0019208,0.0019208,0.0019208
14,378.709,1.04113,0.67883,1.04683,0.91495,0.89691,0.97774,0.69335,1.06344,0.59481,0.95621,0.0019142,0.0019142,0.0019142
15,405.678,1.04955,0.68161,1.04887,0.95489,0.88225,0.95071,0.65378,1.10114,0.67502,0.99531,0.0019076,0.0019076,0.0019076
16,433.175,1.02472,0.65554,1.03962,0.9947,0.875,0.96458,0.68167,1.0261,0.65252,0.94979,0.001901,0.001901,0.001901
17,459.705,1.04884,0.65886,1.0504,0.9561,0.9077,0.96274,0.70231,1.0508,0.57984,0.94073,0.0018944,0.0018944,0.0018944
18,486.65,1.01068,0.63536,1.03561,0.99858,0.95833,0.98026,0.68573,1.02266,0.59421,0.95169,0.0018878,0.0018878,0.0018878
19,513.936,1.00274,0.62776,1.02214,1,0.93612,0.99056,0.68329,1.14971,0.53248,1.00413,0.0018812,0.0018812,0.0018812
20,541.109,1.00582,0.61364,1.03037,0.94196,0.91667,0.9257,0.67544,0.96715,0.60132,0.92364,0.0018746,0.0018746,0.0018746
21,568.477,1.00905,0.6142,1.02664,0.99535,0.95833,0.97543,0.67194,1.11122,0.53367,0.97506,0.001868,0.001868,0.001868
22,595.996,0.98959,0.61483,1.02413,1,0.95723,0.98026,0.6681,1.03815,0.53195,0.94902,0.0018614,0.0018614,0.0018614
23,623.585,0.9911,0.60013,1.0207,0.99232,0.95833,0.96389,0.67717,1.07613,0.59118,0.96369,0.0018548,0.0018548,0.0018548
24,651.229,0.97806,0.60244,1.02473,0.98844,1,0.995,0.71416,1.01871,0.47292,0.96688,0.0018482,0.0018482,0.0018482
25,678.712,0.9876,0.5981,1.02068,0.9934,1,0.995,0.71686,0.97926,0.51737,0.97277,0.0018416,0.0018416,0.0018416
26,706.385,0.97059,0.60313,1.01284,1,0.99672,0.995,0.72804,1.00059,0.46098,0.94796,0.001835,0.001835,0.001835
27,734.198,0.98039,0.59577,1.01634,1,0.91325,0.9598,0.64516,1.10262,0.62539,0.96829,0.0018284,0.0018284,0.0018284
28,761.722,0.97051,0.59022,1.01807,1,0.91533,0.96061,0.60738,1.13197,0.62905,0.98998,0.0018218,0.0018218,0.0018218
