epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5201,1.03125,1.93239,1.17557,0.94973,0.90624,0.96215,0.73794,0.82461,1.06912,1.03293,0.00332011,0.00332011,0.00332011
2,122.236,0.83704,0.98377,1.04041,0.94905,0.97165,0.97424,0.78036,0.73273,0.79623,0.98646,0.00663148,0.00663148,0.00663148
3,178.807,0.86434,0.84188,1.05349,0.88734,0.85533,0.92625,0.6915,0.94445,0.87413,1.11193,0.00992086,0.00992086,0.00992086
4,235.451,0.88393,0.74692,1.06686,0.95854,0.93663,0.97217,0.77312,0.76285,0.62804,1.03593,0.009901,0.009901,0.009901
5,292.388,0.85268,0.64536,1.06404,0.83622,0.87936,0.8737,0.62375,0.97586,0.84722,1.26463,0.009868,0.009868,0.009868
6,350.626,0.84675,0.60056,1.07019,0.95565,0.96697,0.9726,0.78163,0.7351,0.52103,1.05431,0.009835,0.009835,0.009835
7,408.081,0.82755,0.55336,1.06046,0.93815,0.92545,0.95774,0.71055,0.87931,0.58463,1.20155,0.009802,0.009802,0.009802
8,468.794,0.81319,0.53945,1.05515,0.93363,0.91357,0.94114,0.71734,0.83227,0.601,1.1554,0.009769,0.009769,0.009769
9,526.293,0.80763,0.51434,1.0609,0.96132,0.96899,0.98146,0.8162,0.68783,0.42076,1.02842,0.009736,0.009736,0.009736
10,583.9,0.79405,0.49429,1.05411,0.96026,0.97673,0.98119,0.8038,0.70431,0.41029,1.03245,0.009703,0.009703,0.009703
11,641.633,0.79153,0.48578,1.05991,0.96254,0.97521,0.98562,0.80919,0.70631,0.40729,1.03659,0.00967,0.00967,0.00967
12,701.362,0.77857,0.46984,1.04955,0.8934,0.90043,0.90687,0.62455,1.09609,0.69811,1.38972,0.009637,0.009637,0.009637
13,761.152,0.78538,0.47824,1.05571,0.95597,0.97046,0.97615,0.80119,0.72841,0.43676,1.0604,0.009604,0.009604,0.009604
14,819.604,0.77489,0.45754,1.05407,0.9593,0.97612,0.97831,0.81228,0.68811,0.39537,1.03102,0.009571,0.009571,0.009571
15,881.793,0.7647,0.45202,1.04883,0.96908,0.97442,0.9828,0.81198,0.69368,0.41016,1.03306,0.009538,0.009538,0.009538
16,953.502,0.77217,0.44822,1.06014,0.95852,0.96788,0.97567,0.8047,0.69616,0.4184,1.03398,0.009505,0.009505,0.009505
17,1018.71,0.76689,0.44511,1.0511,0.73949,0.80464,0.79719,0.59468,0.97441,1.07638,1.32259,0.009472,0.009472,0.009472
18,1084.88,0.75229,0.43478,1.04923,0.95546,0.97404,0.98178,0.82092,0.67926,0.3704,1.02018,0.009439,0.009439,0.009439
19,1151.7,0.74988,0.43337,1.04437,0.97022,0.96646,0.98556,0.82332,0.66832,0.36374,1.01836,0.009406,0.009406,0.009406
20,1214.67,0.75496,0.43305,1.04372,0.95861,0.97594,0.98164,0.79646,0.70208,0.39673,1.06358,0.009373,0.009373,0.009373
21,1280.92,0.74243,0.42091,1.03165,0.96405,0.97585,0.97981,0.82169,0.66541,0.36458,1.01915,0.00934,0.00934,0.00934
22,1343.41,0.74426,0.42072,1.03719,0.95373,0.97033,0.97797,0.8064,0.6986,0.39723,1.03827,0.009307,0.009307,0.009307
23,1412.29,0.74569,0.42232,1.03715,0.96404,0.96531,0.9831,0.82979,0.66861,0.36579,1.00808,0.009274,0.009274,0.009274
24,1478.09,0.73924,0.41251,1.03412,0.96602,0.97356,0.98357,0.81993,0.6718,0.36359,1.02006,0.009241,0.009241,0.009241
25,1546.64,0.73569,0.41389,1.03536,0.95954,0.9767,0.98377,0.82672,0.66135,0.35692,1.00563,0.009208,0.009208,0.009208
26,1617.26,0.73494,0.4139,1.03381,0.96608,0.97598,0.98607,0.81708,0.67628,0.35914,1.02679,0.009175,0.009175,0.009175
27,1678.97,0.73416,0.405,1.03309,0.96261,0.97409,0.97696,0.80329,0.69491,0.40042,1.03993,0.009142,0.009142,0.009142
28,1737.17,0.73284,0.40557,1.03648,0.9631,0.97609,0.9806,0.826,0.66582,0.34868,1.01445,0.009109,0.009109,0.009109
29,1798.33,0.72498,0.39664,1.02733,0.96607,0.97409,0.98384,0.82702,0.65579,0.34964,1.01007,0.009076,0.009076,0.009076
30,1859.14,0.72954,0.40818,1.03311,0.9629,0.971,0.98083,0.81735,0.67577,0.371,1.02587,0.009043,0.009043,0.009043
31,1920.87,0.72279,0.39854,1.02621,0.96106,0.97824,0.98633,0.83378,0.66654,0.35178,1.00864,0.00901,0.00901,0.00901
32,1981.2,0.7221,0.39645,1.02961,0.94087,0.97757,0.98179,0.81941,0.68391,0.35927,1.01879,0.008977,0.008977,0.008977
33,2040.97,0.71649,0.3959,1.02652,0.96037,0.97108,0.98292,0.82983,0.65684,0.34633,1.01227,0.008944,0.008944,0.008944
34,2106.6,0.71777,0.3992,1.03352,0.96349,0.97299,0.98303,0.82975,0.65443,0.3467,1.00921,0.008911,0.008911,0.008911
35,2167.81,0.71474,0.38958,1.02518,0.96369,0.96791,0.98549,0.83048,0.6514,0.34886,1.00078,0.008878,0.008878,0.008878
36,2227.97,0.7131,0.39492,1.02691,0.96153,0.97797,0.98583,0.83884,0.64306,0.34382,0.99727,0.008845,0.008845,0.008845
37,2293.22,0.7095,0.38261,1.02424,0.96017,0.98071,0.98353,0.83553,0.65124,0.34143,1.00844,0.008812,0.008812,0.008812
38,2353.91,0.70813,0.39164,1.02424,0.96426,0.97661,0.98489,0.83103,0.64427,0.33616,1.00028,0.008779,0.008779,0.008779
39,2415.77,0.71112,0.38868,1.02954,0.96054,0.97843,0.98347,0.82019,0.68928,0.35353,1.01775,0.008746,0.008746,0.008746
40,2476.2,0.71093,0.38888,1.02807,0.96499,0.9756,0.98578,0.8332,0.65429,0.33622,1.00249,0.008713,0.008713,0.008713
41,2536.62,0.71163,0.38997,1.02487,0.96336,0.97653,0.98338,0.83403,0.65025,0.33487,0.99586,0.00868,0.00868,0.00868
